child_id,physical_abuse,emotional_abuse,sexual_abuse,victimization,parent_monitoring,parent_support,parental_warmth,family_conflict,domestic_violence_exposure,school_attendance,school_grades,school_attachment,teacher_support,school_suspensions,alcohol_use,smoking_frequency,drug_use,peer_delinquency,gang_exposure,household_income,parent_education,neighborhood_disadvantage,mental_health_score,impulsivity_score,criminal_risk,is_criminal
CHD00035,9.66,9.11,2.12,2.98,5.81,9.18,7.64,6.75,6.43,6.61,1.97,5.33,11.94,3.8,8.11,1.23,9.25,1.01,,102229.84,13.18,7.2,1.58,9.02,44.7,0
CHD00036,8.08,13.22,1.38,4.55,2.97,8.08,9.09,6.45,0.69,6.19,2.1,0.42,5.52,7.38,6.71,6.69,3.9,5.36,1.29,114744.53,9.13,,5.79,0.13,57.9,1
CHD00037,3.05,9.55,4.74,8.36,7.2,6.52,3.1,5.05,9.06,2.14,0.1,2.86,9.44,4.06,2.17,0.04,8.99,4.64,14.73,90129.43,14.18,5.87,2.67,1.96,62.8,1
CHD00038,0.98,0.51,0.41,3.4,0.45,6.12,4.51,5.18,2.52,0.39,1.62,0.79,9.18,7.21,4.28,1.43,8.96,3.73,7.18,31003.85,10.13,6.02,9.15,8.18,60.8,1
CHD00039,6.84,9.26,1.74,4.07,7.23,0.35,9.15,1.09,1.08,5.15,0.23,9.06,2.51,1.09,9.66,14.95,8.95,3.0,8.96,71294.62,3.44,5.97,4.16,0.88,51.2,0
CHD00040,4.4,5.47,0.89,5.75,2.68,9.38,0.17,7.49,4.09,5.28,2.61,3.74,5.26,4.31,4.55,,1.85,1.78,,127406.79,15.8,3.39,9.95,7.28,43.7,0
CHD00041,1.22,5.33,4.96,6.42,5.88,9.18,13.99,1.86,5.19,6.28,2.53,1.71,7.39,2.12,8.19,3.85,1.82,5.52,2.34,145862.58,12.75,8.34,5.96,4.05,48.3,0
CHD00042,13.19,7.13,2.73,1.89,3.77,5.01,3.44,5.41,3.16,2.4,8.49,1.95,6.54,5.71,4.65,4.22,,0.37,8.78,79820.77,13.48,8.39,1.1,2.95,61.8,1
CHD00043,0.34,8.79,4.06,,1.98,6.38,0.62,4.99,0.68,0.08,,0.82,7.67,4.07,4.31,0.64,6.91,4.92,3.31,106934.17,14.82,2.56,5.52,8.6,65.0,1
CHD00044,9.09,,0.82,4.82,3.32,2.01,0.03,5.21,5.92,5.77,1.61,0.99,3.21,6.08,2.93,3.19,2.78,7.9,2.37,15581.75,14.64,3.66,2.13,3.89,54.0,0
CHD00045,2.59,4.25,1.52,7.91,6.69,5.5,3.15,2.69,0.7,4.97,8.51,4.7,,0.02,5.39,9.51,3.04,7.24,3.99,90568.85,9.76,7.51,0.1,5.79,48.2,0
CHD00046,6.63,1.12,3.1,6.52,0.11,8.86,8.87,8.05,5.61,7.31,6.22,11.54,1.4,6.08,4.01,4.04,2.56,8.7,,21558.47,19.07,1.2,2.95,8.59,46.7,0
CHD00047,3.12,7.89,0.89,4.99,5.08,1.31,8.49,9.69,2.15,1.8,4.73,8.01,7.79,6.1,3.92,2.9,9.05,,4.45,18185.88,15.47,1.79,5.44,9.94,46.8,0
CHD00048,5.2,1.28,2.5,11.28,1.77,5.97,6.26,3.83,7.1,4.93,1.74,3.87,3.8,2.44,1.12,4.13,3.25,3.45,5.06,41222.5,12.09,8.24,9.79,3.71,42.2,0
CHD00049,5.47,7.26,4.66,6.0,5.9,1.19,4.26,7.46,2.14,2.64,8.07,0.4,5.08,6.82,0.09,2.07,8.61,3.45,3.9,32069.48,12.68,3.4,5.95,6.69,45.0,1
CHD00050,1.85,5.28,4.65,4.69,8.14,4.67,3.3,6.07,5.63,3.35,4.78,4.19,2.61,5.47,7.44,3.69,0.02,1.34,7.27,254342.65,19.62,6.74,,2.57,46.5,0
CHD00051,9.7,3.86,1.77,1.95,5.22,2.99,9.63,1.67,1.17,,9.74,,7.22,7.46,5.57,,8.44,2.59,7.25,39779.01,0.57,0.89,3.29,6.49,31.9,0
CHD00052,,6.13,2.58,2.06,4.09,,4.53,2.24,2.85,8.63,3.1,1.21,0.47,9.25,6.56,2.44,9.12,5.89,0.22,41222.91,6.05,,9.25,9.96,50.8,0
CHD00053,9.39,7.72,0.99,1.48,5.96,1.02,5.63,1.76,5.5,1.38,6.63,9.06,6.8,6.0,9.07,0.87,2.45,6.36,4.83,73046.39,,6.86,8.69,5.17,58.8,1
CHD00054,8.95,9.41,4.89,8.22,2.45,4.68,7.87,6.08,2.11,2.17,5.46,9.71,4.95,,13.53,0.34,,7.88,3.68,123026.84,5.01,8.68,3.14,9.72,61.6,1
CHD00055,5.98,2.65,2.6,0.36,0.0,7.04,9.96,5.72,14.59,3.24,1.6,,2.86,9.03,0.34,7.61,8.17,0.57,7.8,113219.52,12.35,2.67,5.57,0.08,41.2,0
CHD00056,9.22,9.47,1.03,9.69,,14.24,2.45,5.64,,,,,3.93,,6.03,7.0,0.26,13.19,4.88,110414.55,6.97,9.55,6.71,8.14,60.7,1
CHD00057,0.88,9.61,4.22,5.91,8.25,3.48,8.27,5.65,3.64,3.33,,4.73,2.87,8.4,5.54,5.39,7.94,3.15,7.26,113505.03,3.49,6.0,9.04,1.8,50.5,0
CHD00058,1.96,8.14,2.1,1.13,6.96,8.46,,5.83,,4.35,0.61,8.58,8.76,0.1,0.59,7.14,,1.85,6.94,147323.18,17.4,9.28,0.48,3.77,38.3,0
CHD00059,0.45,8.81,3.18,8.12,9.41,3.33,7.59,3.38,9.55,3.23,5.05,,14.16,2.15,9.25,4.49,9.04,3.6,9.61,142368.07,11.55,2.55,6.02,14.41,58.6,1
CHD00060,3.25,6.92,4.22,8.76,13.34,4.93,3.96,3.78,3.36,3.84,8.99,5.58,9.84,4.82,3.5,11.38,0.23,4.36,0.38,110726.12,4.82,7.41,6.74,7.83,36.6,0
CHD00061,12.3,0.39,1.55,3.68,0.84,5.3,13.22,2.65,7.47,2.61,2.83,7.69,0.42,4.12,3.49,11.0,1.07,11.82,6.44,75313.18,18.09,,6.19,7.14,52.0,0
CHD00062,2.71,,2.89,3.63,4.57,7.01,9.85,3.8,6.34,6.37,9.49,0.75,5.75,6.36,8.2,2.58,5.99,3.66,6.18,42944.4,8.66,5.74,5.75,2.69,45.1,0
CHD00063,8.29,7.47,0.28,8.47,6.37,0.84,5.11,3.1,3.57,7.82,3.82,8.26,11.37,6.21,2.6,9.41,5.08,7.28,,57101.34,1.49,2.5,6.21,8.39,52.9,0
CHD00064,3.57,9.42,1.17,4.85,5.4,1.59,2.22,5.39,7.81,6.16,3.0,10.41,2.59,1.23,0.19,5.74,1.41,3.5,3.86,20979.91,14.42,8.49,4.46,6.5,42.0,0
CHD00065,2.81,5.7,0.69,5.12,3.59,6.25,3.93,9.81,5.65,1.39,0.61,9.0,10.65,1.6,7.72,5.93,8.47,3.39,7.73,21900.96,6.76,8.39,6.72,3.41,46.0,0
CHD00066,,7.94,3.22,8.91,3.59,8.14,2.65,2.62,11.78,0.61,7.11,5.06,6.39,7.24,9.88,1.74,3.75,0.92,6.28,108912.18,0.08,2.26,4.6,8.68,59.4,1
CHD00067,14.82,7.05,1.27,1.29,,5.86,4.73,5.52,9.94,6.7,7.76,9.0,9.54,5.45,6.26,3.0,3.98,2.62,3.2,59115.24,14.34,7.78,1.71,4.51,52.7,0
CHD00068,8.02,2.81,,,0.31,,7.17,13.04,4.74,2.71,5.11,2.89,2.69,8.81,1.92,9.08,1.49,0.46,5.65,102830.84,17.67,2.36,5.12,8.05,53.5,0
CHD00069,0.75,1.55,3.81,9.27,6.17,4.72,0.95,3.92,6.21,9.22,0.21,4.93,2.32,9.72,1.54,3.02,3.56,,9.64,42482.61,9.44,8.11,6.99,8.77,57.5,1
CHD00070,9.87,7.51,3.92,0.14,2.58,4.73,5.52,0.23,5.34,3.5,4.76,,4.72,3.23,,1.65,5.79,6.84,3.29,113020.91,17.72,7.56,0.6,3.45,56.7,1
CHD00071,7.72,2.34,0.66,6.82,2.63,7.0,0.5,1.78,1.51,,1.54,3.01,3.74,1.02,4.66,2.46,9.66,3.35,6.73,42167.88,1.61,12.27,9.36,2.59,62.5,1
CHD00072,1.99,12.86,2.63,2.82,8.23,7.74,8.29,5.45,8.3,1.88,9.22,0.61,2.12,,1.22,3.46,3.57,3.24,4.64,105787.37,7.3,8.31,9.78,5.24,42.6,0
CHD00073,0.06,6.44,3.4,5.65,6.31,12.88,0.04,6.97,5.51,2.18,0.32,9.51,5.57,3.98,9.7,3.79,3.5,0.82,3.73,,16.7,4.25,2.13,5.37,37.2,0
CHD00074,11.09,7.89,1.61,,5.53,9.25,,3.9,1.95,0.26,9.83,8.07,9.46,4.8,1.92,4.82,7.26,4.48,1.78,64933.98,12.42,6.45,5.65,,48.7,0
CHD00075,7.07,,1.3,5.84,3.73,7.82,4.14,9.61,4.95,9.41,8.37,4.56,5.16,4.15,8.17,5.93,1.02,3.89,0.07,,6.45,0.01,2.5,9.7,47.3,0
CHD00076,7.29,8.85,3.59,6.79,4.65,8.45,2.81,7.12,6.86,6.09,7.16,6.06,7.07,9.55,5.4,,9.21,3.96,7.64,18828.12,20.95,2.4,2.95,0.8,58.9,1
CHD00077,7.71,2.11,1.76,5.58,8.17,4.57,3.36,3.42,6.24,4.01,6.79,6.38,,9.47,7.99,8.64,9.74,8.72,1.29,,9.34,8.88,2.58,2.23,60.6,1
CHD00078,0.74,2.52,1.24,,3.77,7.17,4.87,7.78,4.11,4.31,13.12,0.35,0.69,2.35,1.76,5.69,6.29,7.45,0.14,121458.94,12.8,6.63,2.81,3.19,48.5,0
CHD00079,3.58,6.37,2.81,5.37,2.99,9.49,,4.59,,1.97,3.27,0.0,1.47,,5.94,0.71,1.69,5.79,4.6,127899.9,6.44,1.73,9.91,8.04,48.8,0
CHD00080,1.16,8.29,3.1,2.03,3.76,2.95,9.9,7.02,2.37,6.88,6.91,14.68,1.31,1.84,1.23,7.62,8.95,0.51,1.86,149379.64,,9.23,10.0,0.37,40.4,0
CHD00081,8.63,5.39,3.88,1.99,3.33,8.35,9.26,3.08,1.88,0.0,,4.83,4.69,8.88,,8.47,3.51,0.17,4.42,39810.43,12.91,7.32,9.82,8.74,52.2,0
CHD00082,6.23,0.1,0.2,6.5,6.69,9.93,0.51,3.98,3.41,0.61,1.04,7.64,9.69,5.21,7.9,2.81,0.79,0.5,6.61,15908.08,2.54,6.57,5.76,6.22,47.1,0
CHD00083,,6.77,0.87,5.08,9.72,8.43,9.56,6.86,9.66,0.79,7.89,8.26,0.86,,8.06,1.98,0.96,0.12,7.87,,19.55,0.52,1.73,1.19,43.2,0
CHD00084,0.64,8.14,3.89,3.58,0.32,0.77,3.88,9.7,3.67,4.29,1.36,,0.49,8.13,6.69,0.63,2.98,6.39,8.84,138568.21,12.12,9.08,4.96,4.79,59.3,1
CHD00085,3.11,2.77,,5.67,6.41,8.42,3.05,,7.43,6.24,6.3,6.37,7.89,5.95,,8.56,7.8,1.25,0.92,125804.42,17.3,7.86,6.26,4.38,52.8,1
CHD00086,3.25,0.54,4.03,9.87,4.69,2.82,0.68,1.07,0.04,9.75,4.53,9.12,,9.99,0.85,3.03,2.08,3.98,2.27,17775.36,21.34,7.23,3.49,9.72,59.0,1
CHD00087,7.3,5.18,2.24,6.3,9.58,0.65,9.44,2.21,4.64,6.39,4.82,5.98,9.81,7.74,1.71,4.66,8.17,1.13,0.56,130002.84,10.75,6.26,0.74,8.88,42.5,0
CHD00088,6.38,0.42,2.3,6.94,3.67,2.48,2.99,6.38,8.96,5.15,5.35,5.95,5.01,3.05,6.84,0.79,10.75,8.89,1.67,20660.54,16.14,3.87,7.17,3.83,58.9,1
CHD00089,8.87,4.16,1.89,6.69,0.59,1.21,3.32,3.25,,7.67,4.15,4.68,5.23,5.99,9.76,7.5,,9.99,,25101.88,12.82,4.86,2.92,1.03,62.9,1
CHD00090,4.72,0.18,3.46,6.95,4.31,9.33,,2.89,9.13,4.17,3.05,5.24,7.31,3.06,2.37,6.38,4.4,12.3,,74107.64,6.36,5.66,,9.83,48.4,0
CHD00091,1.2,2.25,,1.95,1.6,2.12,2.15,9.49,8.45,10.78,1.6,7.76,1.66,9.7,3.31,6.21,9.22,2.15,4.87,32332.12,0.05,1.82,0.0,7.94,54.7,0
CHD00092,7.13,3.89,1.96,1.31,2.19,5.63,8.2,5.64,3.36,3.44,8.54,4.12,9.87,8.26,8.53,9.09,1.14,3.88,0.22,74830.78,6.01,8.25,8.46,1.0,43.9,0
CHD00093,7.61,1.12,0.94,7.8,8.88,8.65,12.38,3.02,7.65,3.08,2.52,4.19,8.5,9.11,3.25,2.83,4.48,7.26,3.57,86384.58,12.12,5.0,9.28,8.84,47.7,0
CHD00094,5.61,1.14,0.01,2.41,5.14,3.77,4.72,4.95,4.13,6.92,8.8,3.4,8.22,0.04,0.72,5.88,3.11,8.2,3.09,20741.93,2.41,2.45,6.39,4.22,32.3,0
CHD00095,7.71,8.27,0.46,0.09,9.09,6.89,0.19,7.33,8.01,8.68,8.2,2.5,4.87,3.69,9.65,0.49,9.06,8.85,3.22,122853.39,8.8,1.15,0.8,9.29,54.9,0
CHD00096,4.94,,0.54,2.99,3.7,10.34,6.08,7.17,2.2,2.48,4.58,5.88,4.84,2.44,5.67,7.13,5.08,3.83,5.64,83737.24,0.21,3.78,0.42,5.08,41.0,0
CHD00097,5.23,6.89,2.85,4.64,7.13,3.64,,7.36,6.41,9.34,1.45,8.94,8.87,7.24,1.71,7.75,0.17,6.15,2.45,140577.12,8.0,1.88,3.06,3.39,46.7,0
CHD00098,4.28,8.14,3.8,2.69,7.94,6.4,2.4,0.06,12.43,,8.54,5.09,8.09,6.85,9.23,,4.99,5.03,8.34,100525.15,15.57,6.07,1.48,4.18,59.4,1
CHD00099,,1.31,2.28,0.93,0.37,0.34,4.5,7.81,7.24,6.25,9.32,8.45,4.0,1.63,2.56,9.57,1.14,5.51,9.89,,15.02,3.9,1.7,0.26,40.5,0
CHD00100,12.94,1.95,2.07,2.51,9.19,4.31,2.35,14.42,7.25,8.75,7.49,6.12,6.82,2.29,14.2,8.51,3.02,6.37,3.37,70462.32,6.54,5.29,1.84,6.73,53.9,0
CHD00101,0.31,6.41,0.66,0.8,11.97,0.83,5.86,2.04,6.21,,9.94,3.01,7.6,3.43,1.46,0.98,2.34,0.64,2.6,141107.82,0.99,,0.01,5.49,34.2,0
CHD00102,6.36,3.16,4.51,5.36,0.17,6.6,3.84,11.87,4.6,5.41,6.14,1.8,7.98,1.77,3.27,5.74,8.59,0.52,8.7,93163.01,17.87,6.43,8.7,7.92,61.1,1
CHD00103,3.14,4.76,3.68,6.85,7.83,8.29,8.25,1.86,2.31,9.73,,3.33,7.52,5.58,1.37,5.82,8.58,4.3,4.43,44561.26,5.27,0.29,6.28,7.7,38.5,0
CHD00104,5.09,8.36,2.08,7.13,2.78,4.53,2.3,8.56,7.51,5.71,7.59,9.34,9.33,4.09,,8.19,1.1,8.65,10.61,41465.93,5.33,7.21,0.99,6.18,59.4,1
CHD00105,9.08,1.38,0.49,14.32,12.58,10.29,6.39,4.26,4.29,2.14,9.33,,9.69,9.46,0.05,8.1,2.0,8.6,10.15,128666.24,4.47,2.02,8.7,6.95,48.6,0
CHD00106,2.49,6.2,4.23,0.51,2.69,6.91,9.62,9.56,5.25,6.56,4.25,9.86,6.61,8.9,2.62,9.88,5.04,9.99,3.66,85799.0,3.54,7.11,9.89,1.21,52.0,0
CHD00107,4.1,9.42,0.85,7.44,7.45,4.48,8.49,7.21,3.8,9.23,1.96,,6.36,7.43,6.65,6.5,4.01,4.37,0.21,119836.84,4.97,3.77,8.2,0.64,41.6,0
CHD00108,7.56,0.57,3.37,7.46,4.08,1.36,1.66,5.32,0.1,4.12,9.81,7.94,6.66,7.52,2.47,1.69,7.22,3.87,9.53,87595.49,7.68,7.59,1.58,2.82,49.3,0
CHD00109,2.29,0.6,1.7,5.08,5.75,6.78,6.58,9.86,4.55,9.62,0.63,6.62,5.68,0.51,4.34,7.25,4.48,7.21,4.12,139115.47,5.35,9.92,1.5,1.14,46.1,0
CHD00110,0.77,5.55,4.3,6.01,7.36,8.14,7.97,5.26,8.09,0.51,1.9,3.54,14.33,2.32,6.42,8.86,4.14,0.56,6.87,22227.85,12.74,2.75,2.49,9.68,56.9,1
CHD00111,2.9,9.6,2.93,6.77,3.89,2.39,,1.65,2.33,7.64,9.68,,3.26,3.53,5.99,9.31,5.87,7.97,0.1,31421.91,4.77,8.03,0.47,14.04,58.3,1
CHD00112,1.61,2.2,1.14,4.97,0.76,2.93,7.85,8.84,2.11,4.51,7.55,,7.53,4.73,5.59,1.85,9.75,6.55,9.84,71925.19,12.6,2.73,3.01,3.81,49.2,0
CHD00113,9.3,3.31,0.06,9.91,,9.91,,5.43,7.53,0.06,1.64,1.54,0.01,,3.5,9.08,1.92,10.64,11.38,12018.08,14.41,6.59,7.97,4.34,61.7,1
CHD00114,13.5,0.99,1.06,0.49,4.27,7.58,1.91,4.14,0.27,5.69,5.56,9.89,4.02,7.79,6.69,,7.24,6.08,4.38,97739.9,15.07,0.93,5.05,1.54,48.3,0
CHD00115,6.33,3.62,1.83,1.14,5.25,0.53,4.53,0.28,12.19,9.97,1.21,11.75,13.64,8.82,1.5,,0.95,,4.78,142229.89,5.14,8.51,2.87,2.64,43.3,0
CHD00116,8.71,0.44,3.54,2.75,9.74,9.33,4.77,7.81,0.07,3.52,6.33,0.82,2.09,7.59,4.46,5.12,,9.67,2.78,53849.97,15.5,2.15,12.06,6.53,40.3,0
CHD00117,8.04,3.89,1.08,5.73,2.82,7.58,0.26,8.42,4.11,5.32,8.57,1.69,1.89,7.8,0.74,,0.01,7.96,0.46,92901.01,22.73,7.0,3.01,0.96,45.2,0
CHD00118,,5.55,1.31,9.23,1.39,7.85,6.08,4.94,5.85,6.09,2.18,8.87,7.47,1.97,2.26,9.79,9.37,7.03,1.16,135197.66,,5.46,4.2,9.29,65.0,1
CHD00119,8.93,9.75,2.18,9.63,6.57,3.51,13.99,7.16,4.28,6.96,3.38,4.28,8.39,2.94,9.3,8.45,8.52,3.76,1.01,99306.86,24.68,,9.91,3.96,60.5,1
CHD00120,5.39,8.18,0.21,9.62,3.0,4.87,0.07,9.31,0.02,7.47,8.84,9.66,3.97,3.02,2.0,0.04,6.05,4.14,3.29,93976.55,11.17,0.97,7.83,9.58,41.6,0
CHD00121,8.07,8.22,3.84,9.53,8.53,0.57,3.27,6.63,7.77,7.8,7.99,4.01,4.08,7.96,5.48,7.46,6.04,1.61,14.96,71616.39,18.88,4.21,4.16,9.43,60.2,1
CHD00122,8.96,2.28,0.39,8.62,11.93,6.29,0.14,2.06,5.33,9.17,5.19,5.95,2.44,1.42,9.32,8.99,0.73,1.79,,141620.36,8.01,4.29,8.96,9.83,51.7,0
CHD00123,3.18,0.87,3.69,5.33,0.98,7.17,4.63,14.04,7.24,9.99,9.61,2.59,9.76,8.21,8.75,9.91,0.79,5.29,8.47,127821.45,12.19,7.38,0.3,2.78,55.9,1
CHD00124,1.1,6.03,1.34,6.74,9.84,,6.84,0.92,2.2,12.27,2.06,,1.54,1.26,0.5,7.98,3.11,5.62,4.86,113360.66,15.85,0.88,6.92,7.31,36.2,1
CHD00125,2.28,5.21,2.3,0.23,7.62,8.54,8.43,5.17,11.6,4.6,4.49,,4.73,9.52,9.96,1.49,9.04,2.39,11.91,52282.31,19.36,1.94,4.39,6.45,43.4,0
CHD00126,4.27,5.17,2.05,0.28,0.61,9.09,0.69,0.94,5.9,1.61,0.49,,3.98,2.66,9.11,0.27,0.31,5.57,9.01,53433.48,17.75,1.86,5.82,1.36,43.5,0
CHD00127,8.18,1.09,1.27,8.72,9.88,3.91,8.3,,0.26,9.07,5.71,6.87,0.0,8.45,8.98,4.41,4.54,9.3,8.27,41956.51,13.02,8.81,5.9,2.4,48.1,0
CHD00128,8.61,4.94,1.28,3.67,0.47,4.84,0.48,9.18,7.78,4.45,9.21,8.03,7.98,1.44,0.83,3.91,9.08,1.27,4.09,66200.71,,2.61,5.94,0.16,52.7,0
CHD00129,0.07,1.5,4.75,3.75,1.44,7.32,3.9,5.37,3.52,1.64,9.12,0.38,1.57,9.64,6.71,0.58,9.98,2.56,7.02,91378.26,7.82,4.37,,2.89,54.1,0
